    Time         Eth-MAC-SRC       Eth-MAC-DST      OP       ARP-MAC-SRC     ARP-IP-SRC    ARP-MAC-DST     ARP-IP-DST
129.998859167 00:17:31:ee:85:07 ff:ff:ff:ff:ff:ff who-has 00:17:31:ee:85:07 10.1.100.80 00:00:00:00:00:00 10.1.100.118
131.543519974 00:18:e7:29:44:89 ff:ff:ff:ff:ff:ff who-has 00:18:e7:29:44:89 10.1.100.149 00:00:00:00:00:00 10.1.100.2
131.544129133 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
132.147699118 10:1f:74:3c:69:21 ff:ff:ff:ff:ff:ff who-has 10:1f:74:3c:69:21 10.1.11.15 00:00:00:00:00:00 10.1.11.187
132.455051184 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
133.477519989 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
134.093773127 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
134.195557117 00:15:17:ad:f6:9c ff:ff:ff:ff:ff:ff who-has 00:15:17:ad:f6:9c 10.1.100.201 00:00:00:00:00:00 10.1.100.149
135.038647175 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
136.03797102 00:17:31:ee:85:07 ff:ff:ff:ff:ff:ff who-has 00:17:31:ee:85:07 10.1.100.80 00:00:00:00:00:00 10.1.100.118
136.040842056 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
138.19275403 00:1b:21:7f:6c:fc ff:ff:ff:ff:ff:ff who-has 00:1b:21:7f:6c:fc 10.1.100.254 00:00:00:00:00:00 10.1.100.12
138.496612072 b4:99:ba:63:80:7f ff:ff:ff:ff:ff:ff who-has b4:99:ba:63:80:7f 10.1.100.105 00:00:00:00:00:00 10.1.100.222
141.568042994 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
142.489134073 00:25:4b:2c:7f:05 ff:ff:ff:ff:ff:ff who-has 00:25:4b:2c:7f:05 10.1.200.139 00:00:00:00:00:00 10.1.200.139
